element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
12;8;Unplanned hospitalization in the last 12 month;Hospitalization ;EURO-NMD;;yesno
12;8;Unplanned hospitalization in the last 12 month (number);Hospitalization ;EURO-NMD;;int
12;8;Unplanned hospitalization in the last 12 month (duration);Hospitalization ;EURO-NMD;;int
12;8;Drugs used and stopped during past 12 months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);remark;
12;8;R_PSC_not_in_db312;PSC Follow-up Outcome;Rare Liver (Auto imune);Calculate nakanuma grading;calculation
12;8;R_PSC_not_in_db123;PSC Follow-up Outcome;Rare Liver (Auto imune);Calculate nakanuma staging;calculation
12;8;R_PSC_Indiction_CHE_12months_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Indication CHE;radio
12;8;R_AIH_not_in_db123;AIH Follow-up Outcome II;Rare Liver (Auto imune);Calculate Nakanuma grading?;calculation
14;3;Temple syndrome due to maternal uniparental disomy of chromosome 14 ;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Temple syndrome due to maternal uniparental disomy of chromosome 14 ;
14;3;Temple syndrome due to paternal 14q32.2 hypomethylation ;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Temple syndrome due to paternal 14q32.2 hypomethylation ;
14;3;Temple syndrome due to paternal 14q32.2 microdeletion ;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Temple syndrome due to paternal 14q32.2 microdeletion ;
17,2;2;Combined 17a-hydroxylase/17,20 lyase deficiency;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Combined 17a-hydroxylase/17,20 lyase deficiency;
17,2;2;Isolated 17,20 lyase deficiency;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Isolated 17,20 lyase deficiency;
janv-50;1;Speech following counting aloud from 1-50 (onset of dysarthria);QMG;EURO-NMD;;
01-f�vr;1;Swallowing 4oz water (1/2 cup);QMG;EURO-NMD;;
05-ao�t;1;EMS 5-8;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;EMS 5-8;
>/=;1;EMS >/= 9;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;EMS >/= 9;
µmol/l;1;c. Lowest creatinine value (µmol/l):;5. Lowest creatinine;Eurogen (Posterior urethral valves);;[Numeric (Integer)]
02ml;4;R_AIH_MMP_pmol_02ml_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMP (pmol/0.2ml);numeric
02ml;4;R_PSC_AIH_MMP_pmol02ml_followup;PSC Follow-up Treatment;Rare Liver (Auto imune);MMP (pmol/0.2ml);numeric
02ml;4;R_AIH_MMP_pmol02ml_followup;AIH Follow-up Treatment;Rare Liver (Auto imune);MMP (pmol/0.2ml);numeric
02ml;4;R_PBC_MMP_pmol02ml_followup;PBC Follow-up Treatment;Rare Liver (Auto imune);MMP (pmol/0.2ml);numeric
11b-hydroxylase;5;11b-hydroxylase def (CYP11B1);ADRENAL;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
11b-hydroxylase;5;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
11b-hydroxylase;5;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
11b-hydroxylase;5;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
11b-hydroxylase;5;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
11p15;6;Silver-Russell syndrome due to 11p15 microduplication;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Silver-Russell syndrome due to 11p15 microduplication;
11p15;6;Silver-Russell syndrome due to an imprinting defect of 11p15;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Silver-Russell syndrome due to an imprinting defect of 11p15;
11p15;6;Beckwith-Wiedemann syndrome due to 11p15 microdeletion;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Beckwith-Wiedemann syndrome due to 11p15 microdeletion;
11p15;6;Beckwith-Wiedemann syndrome due to 11p15 microduplication;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Beckwith-Wiedemann syndrome due to 11p15 microduplication;
11p15;6;Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion;
11p15;6;Beckwith-Wiedemann syndrome due to imprinting defect of 11p15;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Beckwith-Wiedemann syndrome due to imprinting defect of 11p15;
12months;1;R_PSC_Indiction_CHE_12months_followup;PSC Follow-up Outcome;Rare Liver (Auto imune);Indication CHE;radio
14q32.2;2;Temple syndrome due to paternal 14q32.2 hypomethylation ;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Temple syndrome due to paternal 14q32.2 hypomethylation ;
14q32.2;2;Temple syndrome due to paternal 14q32.2 microdeletion ;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Temple syndrome due to paternal 14q32.2 microdeletion ;
15q;7;Prader-Willi syndrome due to paternal 15q11q13 deletion;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal 15q11q13 deletion;
15q;7;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;
15q;7;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;
15q;7;15q overgrowth syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;15q overgrowth syndrome;
15q;7;Prader-Willi syndrome due to paternal 15q11q13 deletion;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal 15q11q13 deletion;
15q;7;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;
15q;7;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;
15q11q13;6;Prader-Willi syndrome due to paternal 15q11q13 deletion;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal 15q11q13 deletion;
15q11q13;6;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;
15q11q13;6;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;
15q11q13;6;Prader-Willi syndrome due to paternal 15q11q13 deletion;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal 15q11q13 deletion;
15q11q13;6;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1;
15q11q13;6;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2;
16p11.2;1;Distal 16p11.2 microdeletion syndrome;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Distal 16p11.2 microdeletion syndrome;
16p13.3;1;Rubinstein-Taybi syndrome due to 16p13.3 microdeletion ;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Rubinstein-Taybi syndrome due to 16p13.3 microdeletion ;
17a-hydroxylase/17,20;1;Combined 17a-hydroxylase/17,20 lyase deficiency;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;Combined 17a-hydroxylase/17,20 lyase deficiency;
17b-hsd;1;17b-HSD def (HSD17B3);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;17b-HSD def (HSD17B3);
1a;13;21-hydroxylase def (CYP21A);ADRENAL;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
1a;13;P450 scc def (CYP11A1);ADRENAL;EuRR-Bone & EuRRECa;P450 scc def (CYP11A1);
1a;13;Pseudohypoparathyroidism type 1A;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Pseudohypoparathyroidism type 1A;
1a;13;HNF1A-MODY3;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;HNF1A-MODY3;
1a;13;Hyperinsulinism due to HNF1A deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Hyperinsulinism due to HNF1A deficiency;
1a;13;Pseudohypoparathyroidism type 1A;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Pseudohypoparathyroidism type 1A;
1a;13;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
1a;13;P450 scc def (CYP11A1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;P450 scc def (CYP11A1);
1a;13;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
1a;13;P450 scc def (CYP11A1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;P450 scc def (CYP11A1);
1a;13;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
1a;13;P450 scc def (CYP11A1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;P450 scc def (CYP11A1);
1a;13;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
1b;7;11b-hydroxylase def (CYP11B1);ADRENAL;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
1b;7;Pseudohypoparathyroidism type 1B;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Pseudohypoparathyroidism type 1B;
1b;7;HNF1B-MODY5;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;HNF1B-MODY5;
1b;7;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
1b;7;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
1b;7;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
1b;7;11b-hydroxylase def (CYP11B1);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;11b-hydroxylase def (CYP11B1);
1c;3;Pseudohypoparathyroidism type 1C;CALCIUM & PHOSPHATE;EuRR-Bone & EuRRECa;Pseudohypoparathyroidism type 1C;
1c;3;Beckwith-Wiedemann syndrome due to CDKN1C mutation;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Beckwith-Wiedemann syndrome due to CDKN1C mutation;
1c;3;Pseudohypoparathyroidism type 1C ;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Pseudohypoparathyroidism type 1C ;
21-hydroxylase;5;21-hydroxylase def (CYP21A);ADRENAL;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
21-hydroxylase;5;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
21-hydroxylase;5;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
21-hydroxylase;5;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
21-hydroxylase;5;21-hydroxylase def (CYP21A);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;21-hydroxylase def (CYP21A);
24-hr;1;hours ventilated per 24-hr period;Respiratory Myasthenic crisis;EURO-NMD;;int
24h;1;dia_lab_urine_na_24h;Diagnosis Laboratory data;Rare Liver (Vascular);urine sodium value - 24 hour;numeric
2a;2;EIF2AK3;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;EIF2AK3;
2a;2;Multiple endocrine neoplasia type 2A;GENETIC ENDOCRINE TUMOURS;EuRR-Bone & EuRRECa;Multiple endocrine neoplasia type 2A;
2b;3;Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency;
2b;3;Multiple endocrine neoplasia type 2B;GENETIC ENDOCRINE TUMOURS;EuRR-Bone & EuRRECa;Multiple endocrine neoplasia type 2B;
2b;3;Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency;
2e;1;(If yes, answer question 2e);2nd surgical procedure performed to check for and resect valve remnants: ;Eurogen (Posterior urethral valves);;[Tick-box, multiple selection]
2q37;1;Overgrowth syndrome with 2q37 translocation;GROWTH & OBESITY;EuRR-Bone & EuRRECa;Overgrowth syndrome with 2q37 translocation;
3-hydroxylacyl-coa;1;Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency;GLUCOSE & INSULIN;EuRR-Bone & EuRRECa;Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency;
3b-hsd;4;3b-HSD def (HSD3B2);ADRENAL;EuRR-Bone & EuRRECa;3b-HSD def (HSD3B2);
3b-hsd;4;3b-HSD def (HSD3B2);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;3b-HSD def (HSD3B2);
3b-hsd;4;3b-HSD def (HSD3B2);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;3b-HSD def (HSD3B2);
3b-hsd;4;3b-HSD def (HSD3B2);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;3b-HSD def (HSD3B2);
45,x;2;45,X;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;45,X;
45,x;2;45,X/46,XY;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;45,X/46,XY;
45,x/46,xy;1;45,X/46,XY;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;45,X/46,XY;
45°;3;Head, lifted (45°, supine) Sec.;QMG;EURO-NMD;;
45°;3;Right leg outstretched (45° supine) Sec.;QMG;EURO-NMD;;
45°;3;Left leg outstretched (45° supine) Sec.;QMG;EURO-NMD;;
45°,;1;Head, lifted (45°, supine) Sec.;QMG;EURO-NMD;;
46,xx/46,xy;1;46,XX/46,XY;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;46,XX/46,XY;
47,xxy;1;47,XXY;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;47,XXY;
48,xxxy;1;48,XXXY;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;48,XXXY;
48,xxyy;1;48,XXYY;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;48,XXYY;
49,xxxxy;1;49,XXXXY;SEX DEVELOPMENT;EuRR-Bone & EuRRECa;49,XXXXY;
4d;8;radio_photons_4d;radiotherapy;EURACAN;Photons 4D treatment;1, Yes | 2, No
4d;8;radio_electrons_4d;radiotherapy;EURACAN;Electrons 4D treatment;1, Yes | 2, No
4d;8;radio_protons_4d;radiotherapy;EURACAN;Protons 4D treatment;1, Yes | 2, No
4d;8;radio_carbons_4d;radiotherapy;EURACAN;Carbons 4D treatment;1, Yes | 2, No
4d;8;radio_brachy_4d;radiotherapy;EURACAN;Brachytherapy 4D treatment;1, Yes | 2, No
4d;8;radio_radionuc_4d;radiotherapy;EURACAN;Radionuclide 4D treatment;1, Yes | 2, No
4d;8;radio_boron_4d;radiotherapy;EURACAN;Boron neutron capture therapy 4D treatment;1, Yes | 2, No
4d;8;radio_others_4d;radiotherapy;EURACAN;Others 4D treatment;1, Yes | 2, No
4oz;1;Swallowing 4oz water (1/2 cup);QMG;EURO-NMD;;
5a-reductase;1;5a-reductase def (SRD5A2);SEX DEVELOPMENT;EuRR-Bone & EuRRECa;5a-reductase def (SRD5A2);
6mo;115;R_AIH_AST_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);AST;numeric
6mo;115;R_AIH_ALT_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);ALT;numeric
6mo;115;R_AIH_Total_bilirubin_mgdL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Total bilirubin (mg/dL);numeric
6mo;115;R_AIH_Total_bilirubin_umolL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Total bilirubin (Âµmol/L);numeric
6mo;115;R_AIH_ALP_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Alkaline Phosphatase;numeric
6mo;115;R_AIH_yGT_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);y-GT;numeric
6mo;115;R_AIH_Albumin_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Albumin;numeric
6mo;115;R_AIH_Creatinine_mgdL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Creatinine (mg/dL);numeric
6mo;115;R_AIH_Creatinine_umolL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Creatinine (Âµmol/L);numeric
6mo;115;R_AIH_INR_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);INR;numeric
6mo;115;R_AIH_Platelets_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Platelets;numeric
6mo;115;R_AIH_IgG_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);IgG;numeric
6mo;115;R_AIH_IgM_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);IgM;numeric
6mo;115;R_AIH_IgA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);IgA;numeric
6mo;115;R_AIH_yGlobulins_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);yGlobulins;numeric
6mo;115;R_AIH_Change_of_treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Change of treatment regimen (other than dose change);radio
6mo;115;R_AIH_Azathioprine_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine;radio
6mo;115;R_AIH_Azathioprine_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6mo;115;R_AIH_Azathioprine_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6mo;115;R_AIH_Prednisolone_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Prednisolone/Prednisone;radio
6mo;115;R_AIH_Prednisolone_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6mo;115;R_AIH_Prednisolone_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6mo;115;R_AIH_Budesonide_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Budesonide;radio
6mo;115;R_AIH_Budesonide_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6mo;115;R_AIH_Budesonide_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6mo;115;R_AIH_Mercaptopurine_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Mercaptopurine (6-MP);radio
6mo;115;R_AIH_Mercaptopurine_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6mo;115;R_AIH_Mercaptopurine_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6mo;115;R_AIH_Tacrolimus_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Tacrolimus;radio
6mo;115;R_AIH_Tacrolimus_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6mo;115;R_AIH_Tacrolimus_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6mo;115;R_AIH_MMF_withdrawal_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMF;radio
6mo;115;R_AIH_MMF_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6mo;115;R_AIH_MMF_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6mo;115;R_AIH_Prednisolone_Prednisone_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Prednisolone/Prednisone;radio
6mo;115;R_AIH_Prednisolone_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Prednisolone/Prednisone dose;numeric
6mo;115;R_AIH_Prednisolone_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
